Post Date,Brand Name,Brand Handle,Industry,Campaign Type,Campaign Message,OOH Formats,Location,Caption Summary,Brand Confidence,Industry Confidence
2025-11-13,Papa John's,@papajohnsuae,Food & Beverage,product_launch,Promote the new “Ranch Range” pizza line across Dubai OOH assets.,OOH,"Dubai, UAE","@papajohnsuae has introduced the “Ranch Range” across #Dubai, showcasing its herby, creamy flavor experience.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHom",HIGH,HIGH
2025-11-13,Audemars Piguet,@audemarspiguet,Retail,event_promotion,"Invite watch enthusiasts to Dubai Watch Week, celebrating 150 years of Swiss watchmaking.",OOH,"Dubai, UAE","@audemarspiguet's #OOH invites watch connoisseurs to step inside the @dubaiwatchweek, celebrating 150 years of Swiss craftsmanship and innovation.

Read the full article on our website 🌍 

#InsiteOOH🪧",HIGH,MEDIUM
2025-11-14,Hardee's,@hardeesuae,Food & Beverage,product_launch,Promote the fresh Chick N’ Slaw sandwich via billboard OOH.,billboard,UAE,"@hardeesuae #billboards invite food lovers to get their hands on the fresh Chick N’ Slaw sandwich.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emir",HIGH,HIGH
2025-11-12,Pan Home,@panhomeuae,Retail,promotional_sale,Advertise monumental Friday deals across UAE billboards.,billboard,UAE,"@panhomeuae is lighting up the #UAE #Billboards with monumental deals! for huge savings every Friday.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_E",HIGH,HIGH
2025-11-14,APM Monaco,@apmmonaco,Retail,brand_awareness,"Showcase elegant jewelry in Dubai OOH, featuring influencer @hannahelzahed.",OOH,"Dubai, UAE","@apmmonaco's Dubai #OOH campaign spotlights elegant jewelry with @hannahelzahed.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarket",HIGH,HIGH
2025-11-12,CB,@cbduae,Healthcare,brand_awareness,"Championing health, motivation and reward",billboard,"Dubai, UAE","@cbduae returns to #Dubai's #OOH scene with a striking campaign that champions health, motivation, and reward. 

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfH",MEDIUM,MEDIUM
2025-11-28,New Balance,@newbalance,Retail,brand_awareness,"""Run your way"" – a declaration of independence for runners",billboard,UAE,"In striking sans-serif, the @newbalance campaign reads: “Run your way”, a declaration of independence for runners, whether casual, competitive, or somewhere in between.

Read the full article on our w",HIGH,HIGH
2025-11-24,Aldar,@aldar,Real Estate,brand_awareness,"""The Front Row"" – a sophisticated, architectural OOH approach",billboard,"Dubai, UAE","While the earlier campaign leaned on movement to communicate vitality, @aldar's ""The Front Row"" takes a more sophisticated and architectural approach.

Read the full article on our website 🌍 

#Insite",HIGH,HIGH
2025-11-13,Careem,@careemuae,Transportation & Logistics,brand_awareness,Careem evolving from ride‑hailing to a MENA lifestyle platform; Dubai Chocolate branding Dubai itself,billboard,"Dubai, UAE","@careemuae grew from ride-hailing to a MENA lifestyle platform, while The Original Dubai Chocolate became the #UAE indulgence icon, branding “Dubai” itself.

Read the full article on our website 🌍 

#",HIGH,HIGH
2025-11-14,Union Properties,@unionproperties.uae,Real Estate,brand_awareness,"Modern, airy living rooms spilling onto green terraces to convey feel, not just look",billboard,"Dubai, UAE","@unionproperties.uae's Modern, airy living rooms spill onto green terraces to suggest not so much what the units look like, but rather how they feel.

Read the full article on our website 🌍 

#InsiteO",HIGH,HIGH
2025-11-10,Albaikinu,@albaikinuae,Food & Beverage,brand_awareness,Highlighting its eternal true value on the UAE outdoor scene,billboard,"Dubai, UAE","@albaikinuae has taken its place on the #UAE’s #outdoor scene, highlighting its eternal true value.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emi",LOW,MEDIUM
2025-11-07,4Direction Developments,@4direction_developments,Real Estate,brand_awareness,"Celebrating 21 years of building trust, ambition and a lasting mark",billboard,"Dubai, UAE","@4direction_developments has kick-started its #OOH campaign across Dubai, celebrating its journey of 21 years of building trust, ambition, and a lasting mark.

Read the full article on our website 🌍 
",MEDIUM,HIGH
2025-11-07,Dubai Fitness Challenge,@dubaifitnesschallenge,Entertainment & Media,event_promotion,"Athletic energy urging participants to ""Find your challenge"" for 30X30",DOOH,"Dubai, UAE","@dubaifitnesschallenge  #DOOH ad brings the athletic energy, reminding all to step up for 30X30. It’s time to ""Find your challenge.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #",HIGH,HIGH
2025-11-10,Seddiqi,@seddiqi_uae,Retail,brand_awareness,Celebrating 75 years of unparalleled excellence across the UAE,billboard,"Dubai, UAE","@seddiqi_uae's #OOH is celebrating 75 years of unparalleled excellence across the #UAE.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OO",HIGH,HIGH
2025-11-06,KFC Arabia,@kfcarabia,Food & Beverage,brand_awareness,"Showcasing pure flavor, bold bites and real taste on the UAE outdoor scene",billboard,"Dubai, UAE","@kfcarabia’s pure flavor is taking over the #UAE's #outdoor scene, showcasing real taste, bold bites, and the kind of flavor that speaks for itself.

Read the full article on our website 🌍 

#InsiteOO",HIGH,HIGH
2025-11-11,Global Village,@globalvillageuae,Hospitality & Tourism,seasonal,Celebrating Global Village’s 30th season and its return to Dubai’s outdoor advertising scene.,"billboard, DOOH","Dubai, UAE","@globalvillageuae returns to #Dubai’s #outdoor scene, celebrating its 30th season of wonder.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦",HIGH,HIGH
2025-11-11,Amazon UAE,@amazonae,Retail,promotional_sale,Driving shoppers to the major November shopping event across the UAE.,"billboard, DOOH","Dubai, UAE","Dominating screens across the #UAE from November 7 to 12, @amazonae's #OOH campaign drives shoppers to seize the deals at one of the year's most anticipated shopping events.

Read the full article on ",HIGH,HIGH
2025-11-11,Dolce & Gabbana Beauty,@dolcegabbana_beauty,Beauty & Personal Care,product_launch,Launch of a new beauty collection featuring influencer Huda El Mufti on Dubai’s DOOH screens.,DOOH,"Dubai, UAE","@dolcegabbana_beauty presents their new beauty collection on #Dubai's #DOOH, featuring the renowned Egyptian actress, @hudaelmufti.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #",HIGH,HIGH
2025-11-07,McDonald's,@mcdonaldsuae,Food & Beverage,product_promotion,High‑urgency promotion of the Smoky Chicken Stack & Chilli Guava Sprite.,"billboard, DOOH","Dubai, UAE","After @mcdonaldsuae previous campaign just wrapped, they've returned with a classic, high-urgency play promoting their Smoky Chicken Stack & Chilli Guava Sprite.

Read the full article on our website ",HIGH,HIGH
2025-11-04,Mashreq,@mashreq,Banking & Finance,promotional_sale,Highlighting the savings returns of the NEO PLUS product.,"billboard, DOOH","Dubai, UAE","@mashreq’s #OOH ad, with its commanding presence and striking die-cut design, draws attention to the exceptional savings returns offered by NEO PLUS.

Read the full article on our website 🌍 

#InsiteO",HIGH,HIGH
2025-11-06,Carrefour UAE,@carrefouruae,Retail,brand_awareness,Family‑focused visuals showcasing everyday shopping moments inside Carrefour stores.,"billboard, DOOH","Dubai, UAE","The visuals bring into focus warm, candid family moments inside @carrefouruae stores, with children reaching into shopping carts, parents beaming, and the unmistakable joy of everyday errands turned i",HIGH,HIGH
2025-10-31,Mitsubishi UAE,@mitsubishi.uae,Automotive,promotional_sale,Promotion of the new Outlander with an unbeatable offer and bold billboard presence across the UAE.,billboard,UAE,"@mitsubishi.uae's New Outlander is turning heads across the #UAE with its unbeatable offer and bold #billboard presence.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaign",HIGH,HIGH
2025-11-04,Noon UAE,@noon_uae,Retail,brand_awareness,Dynamic outdoor rollout promoting Noon’s ultra‑fast delivery service.,"billboard, DOOH, outdoor",UAE,"@noon_uae Minutes is back with a dynamic #outdoor rollout across the #UAE, promising ultra-fast delivery.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #O",HIGH,HIGH
2025-11-05,Jaquar World Dubai,@jaquarworlddubai,Retail,product_launch,Showcasing modern bathroom fixtures against Dubai’s skyline to highlight luxury and design.,"billboard, DOOH","Dubai, UAE","Smarter luxury with a breathtaking panoramic view of #Dubai’s iconic skyline!@jaquarworlddubai’s modern fixtures shine in its latest #OOH ad, incorporating comfort with contemporary designs. 

Read th",HIGH,MEDIUM
2025-11-03,Buraqstar,@buraqstar,Retail,product_launch,Industrial‑style OOH spot promoting Novex water‑heater reliability for five years.,"billboard, DOOH","Dubai, UAE","Novex by @buraqstar's Industrial minimalism spotlights functionality, contrasting icy mountains with a sleek cylindrical boiler. It exudes quiet confidence: reliable water heating for five years.

Rea",MEDIUM,MEDIUM
2025-11-14,Islamic Arts Society,@islamicartssociety,Entertainment & Media,event_promotion,Promoting the 26th edition of the Islamic Arts Society festival across Sharjah’s main thoroughfares.,billboard,"Sharjah, UAE","#Sharjah's #OOH scene is showcasing the 26th edition of the @islamicartssociety festival across its main thoroughfares.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns",HIGH,HIGH
2025-11-03,Al Majed Oud,@al.majed.oud,Beauty & Personal Care,product_launch,Launch of the Prestige Ruby Perfume on digital screens.,digital screens,"Dubai, UAE","Prestige Ruby Perfume by @al.majed.oud on digital screens, enchanting with its signature allure.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirat",HIGH,HIGH
2025-11-12,Pizza Hut UAE,@pizzahutuae,Food & Beverage,product_launch,Introducing the new Hut Pasta menu across the UAE out‑of‑home market.,billboard,UAE,"Craving something beyond pizza? @pizzahutuae has introduced its fresh Hut Pasta menu in the #UAE's out-of-home market.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
",HIGH,HIGH
2025-11-05,Sharjah International Book Fair,@sharjah_international_bookfair,Entertainment & Media,event_promotion,Creative OOH campaign highlighting reader quirks for the Sharjah International Book Fair.,billboard,"Sharjah, UAE","From laughing mid-thriller to rereading the same tragic ending ten times over, the @sharjah_international_bookfair leans into universal reader quirks with an insight-driven creative that reads you lik",HIGH,HIGH
2025-11-12,Mayadiab,@mayadiab,Retail,partnership,Grand‑scale glamour campaign featuring Mayadiab fronting Splash Fashions.,billboard,"Dubai, UAE","Glamour on the Grand Scale with @mayadiab Fronts@splashfashions' Latest Campaign.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarke",MEDIUM,MEDIUM
2025-11-05,Grandiose UAE,@grandioseuae,Retail,brand_awareness,"Celebrating Grandiose UAE’s title as Most Admired Food & Grocery Retailer 2025, emphasizing sustainability.",billboard,"Dubai, UAE","Celebrating its title as Most Admired Food & Grocery Retailer 2025, @grandioseuae proves that sustainability and style can share the same cart.

Read the full article on our website 🌍 

#InsiteOOH🪧 #M",HIGH,HIGH
2025-10-31,NYU Abu Dhabi,@nyuabudhabi,Education,brand_awareness,NYU Abu Dhabi’s OOH rollout positioning education as a window to the future.,billboard,"Abu Dhabi, UAE","In a region of the world where access to education is often discussed as a passport to global participation, @nyuabudhabi strategically redefines it as a window, more intimate, more inclusive, and mor",HIGH,HIGH
2025-11-02,N/A,,Industry News,seasonal,"Celebration of UAE Flag Day, raising love and respect for the national flag.",billboard,UAE,"Raising our love and respect to the #UAE flag, a symbol of unity, pride, and endless ambition. Happy UAE Flag Day.

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarketing",LOW,MEDIUM
2025-11-14,Pepe Dubai,@pepe.dubai,Retail,brand_awareness,"New billboard campaign across the UAE showcasing simplicity, soul and style for Pepe Dubai.",billboard,UAE,"@pepe.dubai’s new #billboard campaign blends simplicity, soul, and style across the #UAE.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #",MEDIUM,MEDIUM
2025-10-27,BOSS,@boss,Beauty & Personal Care,product_launch,"Launch of the BOSS Bottled Beyond fragrance, highlighted through an OOH campaign.",billboard,"Dubai, UAE","The campaign, introduces the new ""BOSS Bottled Beyond,"" a sophisticated fragrance with notes of ginger and leather.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#Ou",HIGH,HIGH
2025-10-30,Lattafa Perfumes,@lattafa_perfumes,Beauty & Personal Care,brand_awareness,Showcasing Arabian scents on Sharjah billboards,billboard,"Sharjah, UAE","@lattafa_perfumes's #billboards stand out, grabbing the magic of Arabian scents in #Sharjah.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦",HIGH,HIGH
2025-10-30,Ajmal Perfumes,@ajmalperfumes,Beauty & Personal Care,grand_opening,Celebrating opening of Ajmal's 70th store in Ajman,billboard,"Ajman, UAE","@ajmalperfumes ' #OOH marking the opening of its 70th store in #Ajman.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarketing",HIGH,HIGH
2025-10-27,GFS Developments,@gfsdevelopments,Real Estate,brand_awareness,Celebrity endorsement (Sanjay Dutt & Tamannaah) to highlight brand ambition and reliability,billboard,UAE,"This time, @gfsdevelopments  enlisted Bollywood royalty, tapping the legendary Sanjay Dutt and superstar Tamannaah Bhatia to be the faces of their brand, making a powerful statement about their ambiti",HIGH,HIGH
2025-11-06,Emirates NBD,@emiratesnbd_ae,Banking & Finance,brand_awareness,Promoting Emirates NBD wallet services on road billboards along Sheikh Zayed Road and Al Wahda Street,billboard,"Dubai, UAE","The next time you're stuck in traffic at Sheikh Zayed Road or cruising down Al Wahda Street, look up. You might just be reminded that your wallet could do more for you, with a little help from @emirat",HIGH,HIGH
2025-10-29,Visit Malaysia,@visitmalaysia2026,Hospitality & Tourism,brand_awareness,Encouraging travel to Malaysia with tropical-themed billboards,billboard,UAE,"@visitmalaysia2026 brings a splash of tropical wonder to UAE #billboards, reminding the audience that Asia’s best is just one flight away.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaT",HIGH,HIGH
2025-10-30,Mazda UAE,@mazda_uae,Automotive,product_launch,Launch of the new CX‑60 across the UAE,billboard,UAE,"@mazda_uae turns heads across the #UAE with the all-new CX-60, a perfect blend of Sporty Elegance.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emir",HIGH,HIGH
2025-10-29,Longines,@longines,Retail,brand_awareness,Jennifer Lawrence endorses Longines watches on UAE billboards,billboard,UAE,"Jennifer Lawrence Makes Time Stand Still with @longines Across UAE’s #Billboards.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarke",MEDIUM,MEDIUM
2025-10-27,DAMAC,@damacofficial,Real Estate,brand_awareness,Promoting DAMAC District as a luxury live‑work address,hoarding,UAE,"The new hoarding campaign for @damacofficial District showcases the brand’s signature blend of luxury and lifestyle, inviting residents to experience “Your home. Your office. One address in DAMAC Hill",HIGH,HIGH
